Player_1_id,Player_1_deck_id,Player_1_final_hp,Player_2_id,Player_2_deck_id,Player_2_final_hp,Coin,Final_turn,Winner 
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,8,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,3,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,13,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,12,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,10,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,8,Q_learner_table_1,hunter_face,0,Q_learner_table_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,10,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,6,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,8,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,16,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,6,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,1,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,10,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,9,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,8,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,1,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Face_hunter_1,hunter_face,10,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,9,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,6,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,7,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,1,Q_learner_table_1,12,Q_learner_table_1
Q_learner_table_1,hunter_face,7,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,4,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,14,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,14,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,18,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,24,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,20,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,7,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,12,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,9,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,14,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,9,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,18,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,9,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,4,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,20,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,15,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,5,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,24,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,8,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,10,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,14,Face_hunter_1,8,Face_hunter_1
Face_hunter_1,hunter_face,14,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,19,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,18,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,4,Q_learner_table_1,12,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,2,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,12,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,5,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,6,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,7,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,18,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,19,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,2,Q_learner_table_1,10,Q_learner_table_1
Face_hunter_1,hunter_face,27,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,10,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,3,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,4,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,16,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,6,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,3,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,10,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,14,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,23,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,6,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,3,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,10,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,9,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,13,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,13,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,5,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,15,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,9,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,9,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,17,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,4,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,11,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,12,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,11,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,9,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,8,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,13,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,19,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,11,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,10,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,4,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,12,Face_hunter_1,14,Face_hunter_1
Q_learner_table_1,hunter_face,4,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Face_hunter_1,hunter_face,5,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,16,Q_learner_table_1,hunter_face,0,Q_learner_table_1,10,Face_hunter_1
Face_hunter_1,hunter_face,12,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,12,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,10,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,21,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,10,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,1,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,2,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,1,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,22,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,4,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,14,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,5,Q_learner_table_1,10,Q_learner_table_1
Face_hunter_1,hunter_face,12,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,3,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,13,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,20,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,6,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,6,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,20,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,17,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,10,Q_learner_table_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,6,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,2,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,12,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,10,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Q_learner_table_1,hunter_face,8,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Q_learner_table_1,hunter_face,9,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,9,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,8,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,6,Q_learner_table_1,8,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,12,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,7,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,22,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,20,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,14,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,20,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,14,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,2,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,2,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,9,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,17,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,8,Face_hunter_1,8,Face_hunter_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,10,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,7,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,2,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,3,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,3,Q_learner_table_1,10,Q_learner_table_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,5,Q_learner_table_1,10,Q_learner_table_1
Face_hunter_1,hunter_face,9,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,2,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,1,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Face_hunter_1,hunter_face,12,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,7,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,2,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Face_hunter_1,hunter_face,12,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,1,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,2,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,2,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,12,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,1,Q_learner_table_1,12,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,8,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,10,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,4,Q_learner_table_1,10,Q_learner_table_1
Face_hunter_1,hunter_face,1,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,3,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,13,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,9,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,15,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,14,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,4,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,6,Q_learner_table_1,10,Q_learner_table_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,3,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,17,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,3,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,4,Q_learner_table_1,14,Q_learner_table_1
Face_hunter_1,hunter_face,12,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,11,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,5,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,4,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,15,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,2,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,5,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,8,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,11,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,10,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,3,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,28,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,14,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,9,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,15,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,5,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,8,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,8,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,15,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,6,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,9,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,11,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,20,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,19,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,7,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,2,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,6,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,5,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,10,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,12,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,16,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,2,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,3,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,16,Face_hunter_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,2,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,1,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,20,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,12,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,9,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,13,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,13,Face_hunter_1
Q_learner_table_1,hunter_face,6,Face_hunter_1,hunter_face,0,Face_hunter_1,11,Q_learner_table_1
Q_learner_table_1,hunter_face,14,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Face_hunter_1,hunter_face,9,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,1,Q_learner_table_1,10,Q_learner_table_1
Face_hunter_1,hunter_face,5,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,17,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,6,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,12,Face_hunter_1,16,Face_hunter_1
Face_hunter_1,hunter_face,10,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,14,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Q_learner_table_1,hunter_face,12,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,16,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,16,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,13,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,17,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,19,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,2,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,12,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,6,Face_hunter_1,12,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,2,Q_learner_table_1,10,Q_learner_table_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,4,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,20,Face_hunter_1,hunter_face,0,Face_hunter_1,9,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,15,Face_hunter_1,8,Face_hunter_1
